		rho
EN-cr-10-20	ES-vo-20-30	0.03
EN-cr-10-20	ES-vo-30-50	0.04
EN-cr-10-20	ES-vo-50-70	0.04
EN-cr-10-20	ES-vo-70-80	0.02
EN-cr-10-20	ES-vo-80-90	0.00
EN-cr-10-20	ES-vo-90-95	-0.03
EN-cr-10-20	ES-vo-95-100	-0.01
EN-cr-10-20	ES-le-0-5	0.06
EN-cr-10-20	ES-le-5-10	0.06
EN-cr-10-20	ES-le-10-20	0.09
EN-cr-10-20	ES-le-20-30	0.09
EN-cr-10-20	ES-le-30-50	0.08
EN-cr-10-20	ES-le-50-70	0.08
EN-cr-10-20	ES-le-70-80	0.07
EN-cr-10-20	ES-le-80-90	0.06
EN-cr-10-20	ES-le-90-95	0.05
EN-cr-10-20	ES-le-95-100	0.07
EN-cr-10-20	ES-cp-0-5	-0.06
EN-cr-10-20	ES-cp-5-10	-0.06
EN-cr-10-20	ES-cp-10-20	-0.08
EN-cr-10-20	ES-cp-20-30	-0.05
EN-cr-10-20	ES-cp-30-50	-0.06
EN-cr-10-20	ES-cp-50-70	-0.05
EN-cr-10-20	ES-cp-70-80	-0.06
EN-cr-10-20	ES-cp-80-90	-0.06
EN-cr-10-20	ES-cp-90-95	-0.07
EN-cr-10-20	ES-cp-95-100	-0.06
EN-cr-10-20	ES-pd-0-5	-0.01
EN-cr-10-20	ES-pd-5-10	0.02
EN-cr-10-20	ES-pd-10-20	0.05
EN-cr-10-20	ES-pd-20-30	0.05
EN-cr-10-20	ES-pd-30-50	0.02
EN-cr-10-20	ES-pd-50-70	0.03
EN-cr-10-20	ES-pd-70-80	0.03
EN-cr-10-20	ES-pd-80-90	0.02
EN-cr-10-20	ES-pd-90-95	0.01
EN-cr-10-20	ES-pd-95-100	-0.00
EN-cr-20-30	ES-cr-0-5	0.03
EN-cr-20-30	ES-cr-5-10	0.09
EN-cr-20-30	ES-cr-10-20	0.13
EN-cr-20-30	ES-cr-20-30	0.10
EN-cr-20-30	ES-cr-30-50	0.11
EN-cr-20-30	ES-cr-50-70	0.06
EN-cr-20-30	ES-cr-70-80	0.04
EN-cr-20-30	ES-cr-80-90	0.05
EN-cr-20-30	ES-cr-90-95	0.03
EN-cr-20-30	ES-cr-95-100	0.00
EN-cr-20-30	ES-sr-0-5	-0.05
EN-cr-20-30	ES-sr-5-10	-0.03
EN-cr-20-30	ES-sr-10-20	-0.04
EN-cr-20-30	ES-sr-20-30	-0.05
EN-cr-20-30	ES-sr-30-50	-0.04
EN-cr-20-30	ES-sr-50-70	-0.05
EN-cr-20-30	ES-sr-70-80	-0.05
EN-cr-20-30	ES-sr-80-90	-0.04
EN-cr-20-30	ES-sr-90-95	-0.05
EN-cr-20-30	ES-sr-95-100	-0.02
EN-cr-20-30	ES-tl-0-5	-0.06
EN-cr-20-30	ES-tl-5-10	-0.00
EN-cr-20-30	ES-tl-10-20	0.01
EN-cr-20-30	ES-tl-20-30	0.03
EN-cr-20-30	ES-tl-30-50	-0.03
EN-cr-20-30	ES-tl-50-70	0.01
EN-cr-20-30	ES-tl-70-80	0.01
EN-cr-20-30	ES-tl-80-90	-0.00
EN-cr-20-30	ES-tl-90-95	-0.03
EN-cr-20-30	ES-tl-95-100	-0.01
EN-cr-20-30	ES-th-0-5	0.02
EN-cr-20-30	ES-th-5-10	0.01
EN-cr-20-30	ES-th-10-20	0.02
EN-cr-20-30	ES-th-20-30	0.06
EN-cr-20-30	ES-th-30-50	0.07
EN-cr-20-30	ES-th-50-70	0.05
EN-cr-20-30	ES-th-70-80	0.02
EN-cr-20-30	ES-th-80-90	0.00
EN-cr-20-30	ES-th-90-95	-0.02
EN-cr-20-30	ES-th-95-100	-0.01
EN-cr-20-30	ES-wp-0-5	0.01
EN-cr-20-30	ES-wp-5-10	0.07
EN-cr-20-30	ES-wp-10-20	0.08
EN-cr-20-30	ES-wp-20-30	0.07
EN-cr-20-30	ES-wp-30-50	0.10
EN-cr-20-30	ES-wp-50-70	0.10
EN-cr-20-30	ES-wp-70-80	0.09
EN-cr-20-30	ES-wp-80-90	0.08
EN-cr-20-30	ES-wp-90-95	0.05
EN-cr-20-30	ES-wp-95-100	0.00
EN-cr-20-30	ES-np-0-5	-0.02
EN-cr-20-30	ES-np-5-10	-0.05
EN-cr-20-30	ES-np-10-20	-0.04
EN-cr-20-30	ES-np-20-30	-0.01
EN-cr-20-30	ES-np-30-50	-0.01
EN-cr-20-30	ES-np-50-70	0.00
EN-cr-20-30	ES-np-70-80	-0.00
EN-cr-20-30	ES-np-80-90	-0.04
EN-cr-20-30	ES-np-90-95	-0.04
EN-cr-20-30	ES-np-95-100	-0.02
EN-cr-20-30	ES-vo-0-5	-0.02
EN-cr-20-30	ES-vo-5-10	-0.03
EN-cr-20-30	ES-vo-10-20	0.00
EN-cr-20-30	ES-vo-20-30	0.07
EN-cr-20-30	ES-vo-30-50	0.06
EN-cr-20-30	ES-vo-50-70	0.04
EN-cr-20-30	ES-vo-70-80	0.03
EN-cr-20-30	ES-vo-80-90	-0.00
EN-cr-20-30	ES-vo-90-95	-0.01
EN-cr-20-30	ES-vo-95-100	0.01
EN-cr-20-30	ES-le-0-5	0.04
EN-cr-20-30	ES-le-5-10	0.05
EN-cr-20-30	ES-le-10-20	0.07
EN-cr-20-30	ES-le-20-30	0.08
EN-cr-20-30	ES-le-30-50	0.09
EN-cr-20-30	ES-le-50-70	0.08
EN-cr-20-30	ES-le-70-80	0.05
EN-cr-20-30	ES-le-80-90	0.07
EN-cr-20-30	ES-le-90-95	0.06
EN-cr-20-30	ES-le-95-100	0.05
EN-cr-20-30	ES-cp-0-5	-0.06
EN-cr-20-30	ES-cp-5-10	-0.06
EN-cr-20-30	ES-cp-10-20	-0.06
EN-cr-20-30	ES-cp-20-30	-0.04
EN-cr-20-30	ES-cp-30-50	-0.06
EN-cr-20-30	ES-cp-50-70	-0.05
EN-cr-20-30	ES-cp-70-80	-0.05
EN-cr-20-30	ES-cp-80-90	-0.07
EN-cr-20-30	ES-cp-90-95	-0.07
EN-cr-20-30	ES-cp-95-100	-0.04
EN-cr-20-30	ES-pd-0-5	0.01
EN-cr-20-30	ES-pd-5-10	-0.00
EN-cr-20-30	ES-pd-10-20	-0.02
EN-cr-20-30	ES-pd-20-30	0.01
EN-cr-20-30	ES-pd-30-50	0.05
EN-cr-20-30	ES-pd-50-70	0.01
EN-cr-20-30	ES-pd-70-80	-0.00
EN-cr-20-30	ES-pd-80-90	0.01
EN-cr-20-30	ES-pd-90-95	-0.00
EN-cr-20-30	ES-pd-95-100	-0.00
EN-cr-30-50	ES-cr-0-5	-0.02
EN-cr-30-50	ES-cr-5-10	0.08
EN-cr-30-50	ES-cr-10-20	0.05
EN-cr-30-50	ES-cr-20-30	0.10
EN-cr-30-50	ES-cr-30-50	0.13
EN-cr-30-50	ES-cr-50-70	0.12
EN-cr-30-50	ES-cr-70-80	0.07
EN-cr-30-50	ES-cr-80-90	0.06
EN-cr-30-50	ES-cr-90-95	0.01
EN-cr-30-50	ES-cr-95-100	-0.02
EN-cr-30-50	ES-sr-0-5	-0.07
EN-cr-30-50	ES-sr-5-10	-0.07
EN-cr-30-50	ES-sr-10-20	-0.07
EN-cr-30-50	ES-sr-20-30	-0.07
EN-cr-30-50	ES-sr-30-50	-0.07
EN-cr-30-50	ES-sr-50-70	-0.06
EN-cr-30-50	ES-sr-70-80	-0.07
EN-cr-30-50	ES-sr-80-90	-0.09
EN-cr-30-50	ES-sr-90-95	-0.06
EN-cr-30-50	ES-sr-95-100	-0.05
EN-cr-30-50	ES-tl-0-5	-0.07
EN-cr-30-50	ES-tl-5-10	-0.03
EN-cr-30-50	ES-tl-10-20	-0.03
EN-cr-30-50	ES-tl-20-30	-0.01
EN-cr-30-50	ES-tl-30-50	-0.01
EN-cr-30-50	ES-tl-50-70	-0.00
EN-cr-30-50	ES-tl-70-80	-0.02
EN-cr-30-50	ES-tl-80-90	-0.04
EN-cr-30-50	ES-tl-90-95	-0.06
EN-cr-30-50	ES-tl-95-100	-0.07
EN-cr-30-50	ES-th-0-5	-0.02
EN-cr-30-50	ES-th-5-10	-0.00
EN-cr-30-50	ES-th-10-20	-0.00
EN-cr-30-50	ES-th-20-30	0.05
EN-cr-30-50	ES-th-30-50	0.08
EN-cr-30-50	ES-th-50-70	0.04
EN-cr-30-50	ES-th-70-80	0.02
EN-cr-30-50	ES-th-80-90	0.02
EN-cr-30-50	ES-th-90-95	-0.01
EN-cr-30-50	ES-th-95-100	-0.02
EN-cr-30-50	ES-wp-0-5	0.01
EN-cr-30-50	ES-wp-5-10	0.07
EN-cr-30-50	ES-wp-10-20	0.06
EN-cr-30-50	ES-wp-20-30	0.08
EN-cr-30-50	ES-wp-30-50	0.11
EN-cr-30-50	ES-wp-50-70	0.11
EN-cr-30-50	ES-wp-70-80	0.06
EN-cr-30-50	ES-wp-80-90	0.07
EN-cr-30-50	ES-wp-90-95	0.01
EN-cr-30-50	ES-wp-95-100	-0.02
EN-cr-30-50	ES-np-0-5	-0.06
EN-cr-30-50	ES-np-5-10	-0.02
EN-cr-30-50	ES-np-10-20	-0.02
EN-cr-30-50	ES-np-20-30	-0.01
EN-cr-30-50	ES-np-30-50	-0.02
EN-cr-30-50	ES-np-50-70	-0.03
EN-cr-30-50	ES-np-70-80	-0.05
EN-cr-30-50	ES-np-80-90	-0.05
EN-cr-30-50	ES-np-90-95	-0.06
EN-cr-30-50	ES-np-95-100	-0.04
EN-cr-30-50	ES-vo-0-5	-0.08
EN-cr-30-50	ES-vo-5-10	-0.05
EN-cr-30-50	ES-vo-10-20	-0.01
EN-cr-30-50	ES-vo-20-30	0.05
EN-cr-30-50	ES-vo-30-50	0.12
EN-cr-30-50	ES-vo-50-70	0.06
EN-cr-30-50	ES-vo-70-80	0.03
EN-cr-30-50	ES-vo-80-90	-0.03
EN-cr-30-50	ES-vo-90-95	-0.05
EN-cr-30-50	ES-vo-95-100	-0.03
EN-cr-30-50	ES-le-0-5	0.06
EN-cr-30-50	ES-le-5-10	0.06
EN-cr-30-50	ES-le-10-20	0.08
EN-cr-30-50	ES-le-20-30	0.09
EN-cr-30-50	ES-le-30-50	0.11
EN-cr-30-50	ES-le-50-70	0.13
EN-cr-30-50	ES-le-70-80	0.09
EN-cr-30-50	ES-le-80-90	0.09
EN-cr-30-50	ES-le-90-95	0.08
EN-cr-30-50	ES-le-95-100	0.09
EN-cr-30-50	ES-cp-0-5	-0.08
EN-cr-30-50	ES-cp-5-10	-0.08
EN-cr-30-50	ES-cp-10-20	-0.08
EN-cr-30-50	ES-cp-20-30	-0.07
EN-cr-30-50	ES-cp-30-50	-0.07
EN-cr-30-50	ES-cp-50-70	-0.08
EN-cr-30-50	ES-cp-70-80	-0.08
EN-cr-30-50	ES-cp-80-90	-0.09
EN-cr-30-50	ES-cp-90-95	-0.09
EN-cr-30-50	ES-cp-95-100	-0.08
EN-cr-30-50	ES-pd-0-5	-0.01
EN-cr-30-50	ES-pd-5-10	0.00
EN-cr-30-50	ES-pd-10-20	-0.01
EN-cr-30-50	ES-pd-20-30	0.03
EN-cr-30-50	ES-pd-30-50	0.05
EN-cr-30-50	ES-pd-50-70	0.02
EN-cr-30-50	ES-pd-70-80	0.05
EN-cr-30-50	ES-pd-80-90	0.02
EN-cr-30-50	ES-pd-90-95	-0.01
EN-cr-30-50	ES-pd-95-100	-0.02
EN-cr-50-70	ES-cr-0-5	0.01
EN-cr-50-70	ES-cr-5-10	0.06
EN-cr-50-70	ES-cr-10-20	0.04
EN-cr-50-70	ES-cr-20-30	0.04
EN-cr-50-70	ES-cr-30-50	0.14
EN-cr-50-70	ES-cr-50-70	0.16
EN-cr-50-70	ES-cr-70-80	0.11
EN-cr-50-70	ES-cr-80-90	0.09
EN-cr-50-70	ES-cr-90-95	-0.01
EN-cr-50-70	ES-cr-95-100	-0.01
EN-cr-50-70	ES-sr-0-5	-0.10
EN-cr-50-70	ES-sr-5-10	-0.07
EN-cr-50-70	ES-sr-10-20	-0.09
EN-cr-50-70	ES-sr-20-30	-0.09
EN-cr-50-70	ES-sr-30-50	-0.08
EN-cr-50-70	ES-sr-50-70	-0.07
EN-cr-50-70	ES-sr-70-80	-0.08
EN-cr-50-70	ES-sr-80-90	-0.09
EN-cr-50-70	ES-sr-90-95	-0.06
EN-cr-50-70	ES-sr-95-100	-0.06
EN-cr-50-70	ES-tl-0-5	-0.04
EN-cr-50-70	ES-tl-5-10	0.02
EN-cr-50-70	ES-tl-10-20	0.00
EN-cr-50-70	ES-tl-20-30	-0.01
EN-cr-50-70	ES-tl-30-50	-0.04
EN-cr-50-70	ES-tl-50-70	-0.02
EN-cr-50-70	ES-tl-70-80	0.00
EN-cr-50-70	ES-tl-80-90	-0.05
EN-cr-50-70	ES-tl-90-95	-0.06
EN-cr-50-70	ES-tl-95-100	-0.04
EN-cr-50-70	ES-th-0-5	-0.01
EN-cr-50-70	ES-th-5-10	0.01
EN-cr-50-70	ES-th-10-20	0.02
EN-cr-50-70	ES-th-20-30	0.03
